"承诺背
景","承诺
类型",承诺方,"承诺
内容",承诺时间,"是否有
履行期
限","承诺
期限","是否及
时严格
履行","如未能及时
履行应说明
未完成履行
的具体原因","如未能及
时履行应
说明下一
步计划"
"与重大
资产重
组相关
的承诺","解决土
地等产
权瑕疵","福生投资、
滕再生、和
辉创投、燕
高投资、蒙
润投资","承诺人向本公司保证并承诺，如福成餐饮
及其子公司在本次重组实施完成前的任何
租赁物业存在任何权属纠纷导致福成餐饮
或其子公司需承担赔偿、处罚、搬迁等支
出及费用的，承诺人将全额承担该部分支
出及费用（承诺人按本次重组前持有的福
成餐饮的股权比例分摊），且在承担后不
向福成餐饮或其子公司追偿，保证福成餐
饮或其子公司不会因此遭受任何损失。",2013 年6 月5 日,是,"长期
承诺",是,不适用,不适用
,其他,"福生投资、
滕再生、和
辉创投、燕
高投资、蒙
润投资","针对福成餐饮未对部分员工缴纳社会保险
或住房公积金可能引发的法律风险，承诺
人作出承诺，福成餐饮及其子公司如有在
本次重组实施完成前未依法足额缴纳的社
会保险费和住房公积金等员工福利（已在
账上计提的部分除外），有权部门或权利
人在任何时候要求福成餐饮或其子公司补
缴，或对福成餐饮或其子公司处罚，或向
福成餐饮或其子公司追索，承诺人将全额
承担该部分补缴、被处罚或被追索的支出
及费用（承诺人按本次重组前持有的福成",2013 年6 月5 日,是,"长期
承诺",是,不适用,不适用
