项目,本期发生额,,上期发生额,
,收入,成本,收入,成本
主营业务,"1,127,581,562.79","881,302,773.02","981,986,416.14","736,130,201.37"
其他业务,"34,956,592.85","25,254,817.29","39,553,650.07","25,558,252.02"
合计,"1,162,538,155.64","906,557,590.31","1,021,540,066.21","761,688,453.39"
