项目,本期发生额,上期发生额
环保税,"31,278.23","33,056.47"
城市维护建设税,"952,201.23","1,036,151.37"
教育费附加,"561,642.48","603,971.59"
地方教育附加税,"374,428.00","402,647.60"
资源税,"1,400,122.09","780,389.40"
房产税,"2,027,135.57","2,183,361.94"
土地使用税,"1,096,498.56","1,138,725.84"
车船使用税,"93,822.35","85,277.94"
印花税,"628,715.02","651,216.32"
水利建设基金,853.12,"1,736.70"
合计,"7,166,696.65","6,916,535.17"
