项目,期初余额,本期增加,本期减少,期末余额
一、短期薪酬,"21,074,004.53","184,723,662.52","188,279,516.98","17,518,150.07"
"二、离职后福利-设定提存
计划","3,924,360.62","6,300,361.60","6,271,477.65","3,953,244.57"
三、辞退福利,,"3,500.00","3,500.00",
"四、一年内到期的其他福
利",,,,
合计,"24,998,365.15","191,027,524.12","194,554,494.63","21,471,394.64"
