项目名称,"预算数
（万
元）","期初
余额",本期增加金额,"本期转
入固定
资产金
额","本期其
他减少
金额","期末
余额","工程累
计投入
占预算
比例(%)","工程
进度","利息资
本化累
计金额","其中：
本期利
息资本
化金额","本期利息资
本化率(%)","资金
来源"
天德办公楼,"1,300.00","2,637,515.04",,,,"2,637,515.04",20.29,20.29,,,,自筹
天德殡仪馆,"1,190.00","5,824,911.77",,,,"5,824,911.77",48.95,48.95,,,,自筹
合计,"2,490.00","8,462,426.81",,,,"8,462,426.81",/,/,,,/,/
