项目,本期发生额,上期发生额
成本法核算的长期股权投资收益,"137,021,937.67","2,619,528.84"
权益法核算的长期股权投资收益,,
其他,/,"1,241,658.44"
合计,"137,021,937.67","3,861,187.28"
