项目,期末余额,期初余额
库存现金,"123,507.65","881,357.28"
银行存款,"237,446,599.24","95,513,335.18"
其他货币资金,"307,431.35","218,678.25"
存放财务公司存款,/,/
合计,"237,877,538.24","96,613,370.71"
"其中：存放在境外的
款项总额",/,/
