项目,本期发生额,上期发生额
"二、存货跌价损失及合同履约成本减值
损失","-883,148.14",
其他非流动资产减值损失,"-3,138,643.10","-7,371,789.78"
合计,"-4,021,791.24","-7,371,789.78"
