"净敞口套期收益（损失以
“-”号填列）",,,
"公允价值变动收益（损失以
“－”号填列）",,"1,004,037.30","-245,431.34"
"信用减值损失（损失以“-”
号填列）",,"-256,371.43","321,849.37"
"资产减值损失（损失以“-”
号填列）",,"-5,409,899.00","-20,924,551.89"
"资产处置收益（损失以
“－”号填列）",,"-16,776.59","-4,748,636.27"
"二、营业利润（亏损以“－”号填
列）",,"121,874,491.08","-2,465,901.23"
加：营业外收入,,"2,772,487.94","2,991,078.45"
减：营业外支出,,"7,756,110.90","41,546.26"
"三、利润总额（亏损总额以“－”
号填列）",,"116,890,868.12","483,630.96"
减：所得税费用,,"-1,583,637.86","-4,377,596.70"
"四、净利润（净亏损以“－”号填
列）",,"118,474,505.98","4,861,227.66"
"（一）持续经营净利润（净亏损
以“－”号填列）",,"118,474,505.98","4,861,227.66"
"（二）终止经营净利润（净亏损
以“－”号填列）",,,
五、其他综合收益的税后净额,,,
"（一）不能重分类进损益的其他
综合收益",,,
"1.重新计量设定受益计划变动
额",,,
"2.权益法下不能转损益的其他
综合收益",,,
"3.其他权益工具投资公允价值
变动",,,
"4.企业自身信用风险公允价值
变动",,,
"（二）将重分类进损益的其他综
合收益",,,
"1.权益法下可转损益的其他综
合收益",,,
2.其他债权投资公允价值变动,,,
"3.金融资产重分类计入其他综
合收益的金额",,,
4.其他债权投资信用减值准备,,,
5.现金流量套期储备,,,
6.外币财务报表折算差额,,,
7.其他,,,
六、综合收益总额,,"118,474,505.98","4,861,227.66"
七、每股收益：,,,
（一）基本每股收益(元/股),,,
（二）稀释每股收益(元/股),,,
