,,,"餐饮的股权比例分摊），且在承担后不向
福成餐饮或其子公司追偿，保证福成餐饮
或其子公司不会因此遭受任何损失。",,,,,,
,"解决同
业竞争","李福成、李
高生、福成
集团、福生
投资","1、本人/本公司及本人/本公司控制的其他
企业未从事与福成餐饮及其下属子公司、
分公司构成竞争的业务；本次重组完成
后，本人/本公司及本人/本公司所控制的
其他企业均不会从事与重组后的福成五丰
及其下属子公司、分公司构成竞争的业
务。 2、本人/本公司将来不会以任何方式
从事对福成五丰及其子公司的生产经营构
成或可能构成同业竞争的业务和经营活
动，也不会以任何方式为与福成五丰及其
子公司存在竞争关系的企业、机构或其他
经济组织提供任何资金、业务、技术和管
理等方面的帮助。 3、如果本人/本公司违
反上述声明与承诺并造成福成五丰及其子
公司经济损失的，本人/本公司将赔偿福成
五丰及其子公司因此受到的全部损失。","2013 年5 月27
日",是,"长期
承诺",是,不适用,不适用
,"解决关
联交易",福成集团,"1、本次重组完成后，本公司将根据相关法
律、法规和规范性文件的规定，保证自身
并将促使其直接或间接控制的企业等关联
方规范并减少与福成股份及其子公司之间
的关联交易；2、对于本公司及直接或间接
控制的企业等关联方与福成股份及其子公
司之间无法避免或者确有合理原因而发生
的关联交易，本公司及直接或间接控制的
企业等关联方保证依法履行相应程序，按
照与独立第三方进行交易的交易价格与交
易条件进行交易，保证不利用关联交易损
害福成股份及其他股东的利益；3、本次重","2014 年9 月30
日",是,"长期
承诺",是,不适用,不适用
