项目名称,期初余额,期末余额,当期变动,对当期利润的影响金额
其他非流动金融资产,"1,290,905.10","2,294,942.40","1,004,037.30","1,004,037.30"
合计,"1,290,905.10","2,294,942.40","1,004,037.30","1,004,037.30"
