项目,期初余额,本期增加,本期减少,期末余额
法定盈余公积,"163,126,089.11","11,847,450.60",,"174,973,539.71"
储备基金,"307,423.03",,,"307,423.03"
企业发展基金,"307,422.59",,,"307,422.59"
合计,"163,740,934.73","11,847,450.60",,"175,588,385.33"
