在产品,"162,086,438.40",,"162,086,438.40","127,417,759.28",,"127,417,759.28"
库存商品,"148,981,210.79","209,376.86","148,771,833.93","117,106,671.85","209,376.86","116,897,294.99"
周转材料,"1,966,277.07",,"1,966,277.07","1,654,329.96",,"1,654,329.96"
消耗性生物资产,"316,589,111.00",,"316,589,111.00","261,032,922.42",,"261,032,922.42"
开发成本,"465,678,486.70","167,021,561.95","298,656,924.75","469,717,969.41","166,837,796.54","302,880,172.87"
合计,"1,203,012,311.76","167,910,868.66","1,035,101,443.10","1,095,143,672.46","167,047,173.40","928,096,499.06"
