"三河市福成肥牛润福
餐饮有限公司","河北省三河
市",100 万,"河北省
三河市",餐饮服务,,100,设立
"张北福成肥牛宏福餐
饮有限公司","河北省张家
口市张北县",100 万,"河北省
张家口
市张北
县",餐饮服务,,100,设立
"北京福成福兴餐饮有
限公司","北京市房山
区",100 万,"北京市
房山区",餐饮服务,,100,设立
"呼和浩特市福成肥牛
兴隆餐饮有限公司","呼和浩特市
玉泉区",50 万,"呼和浩
特市玉
泉区",餐饮服务,,100,设立
"北京市福成肥牛祥润
餐饮有限公司","北京市顺义
区",50 万,"北京市
顺义区",餐饮服务,,100,设立
"三河市福成肥牛福润
餐饮有限公司","河北省三河
市",50 万,"河北省
三河市",餐饮服务,,100,设立
"三河市福成肥牛福欣
餐饮有限公司","河北省三河
市",50 万,"河北省
三河市",餐饮服务,,100,设立
"呼和浩特市福成肥牛
福祥餐饮有限公司","内蒙古自治
区呼和浩特
市",50 万,"内蒙古
自治区
呼和浩
特市",餐饮服务,,100,设立
"张家口福成肥牛嘉福
餐饮有限公司","河北省张家
口市",50 万,"河北省
张家口
市",餐饮服务,,100,设立
"怀来福成肥牛福鑫餐
饮有限公司","河北省张家
口市",50 万,"河北省
张家口
市",餐饮服务,,100,设立
"北京福成福源餐饮有
限公司","北京市密云
区",50 万,"北京市
密云区",餐饮服务,,100,设立
"北京福成福盛餐饮有
限公司","北京市怀柔
区",50 万,"北京市
怀柔区",餐饮服务,,100,设立
"北京福成鸿福餐饮有
限公司","北京市顺义
区",50 万,"北京市
顺义区",餐饮服务,,100,设立
"三河市福成肥牛润兴
餐饮有限公司","河北省三河
市",50 万,"河北省
三河市",餐饮服务,,100,设立
"三河福成生物科技有
限公司","河北省三河
市","1000
万","河北省
三河市","预包装食
品、生产",100,,设立
"三河福成控股有限公
司","河北省三河
市","10000
万","河北省
三河市","资产重组、
并购",100,,设立
"三河灵山宝塔陵园有
限公司","河北省三河
市","18000
万","河北省
三河市","灵位墓穴开
发、销售、
租赁",100,,"同一控制下
企业合并"
"湖南韶山天德福地陵
园有限责任公司",湖南省韶山,"10000
万","湖南省
韶山市","灵位墓穴开
发、销售",80,,"非同一控制
下企业合并"
"三河市兴荣农业发展
有限公司","河北省三河
市","2000
万","河北省
三河市","农机作业服
务",100,,"同一控制下
企业合并"
"三河市谷润农业专业
合作社","河北省三河
市",50 万,"河北省
三河市",农产品种植,,80,"同一控制下
企业合并"
"三河市谷胜农业专业
合作社","河北省三河
市",25 万,"河北省
三河市",农产品种植,,80,"同一控制下
企业合并"
