报告期利润,"加权平均净资产收
益率（%）",每股收益,
,,基本每股收益,稀释每股收益
归属于公司普通股股东的净利润,2.636,0.0696,0.0696
"扣除非经常性损益后归属于公司
普通股股东的净利润",2.709,0.0715,0.0715
