资产类别,期初数,"本期公允价值
变动损益","计入权益的累
计公允价值变
动","本期计提的减
值",本期购买金额,"本期出售/赎回
金额",其他变动,期末数
股票,"1,290,905.10","1,004,037.30",,,,,,"2,294,942.40"
合计,"1,290,905.10","1,004,037.30",,,,,,"2,294,942.40"
