,,,"组完成后，本公司保证自身及其关联方与
福成股份在业务、资产、机构、人员、财
务等方面相互独立，将严格按照有关法
律、法规和规范性文件以及福成股份公司
章程等公司治理文件的规定，通过福成股
份董事会、股东大会依法行使权利，同时
承担相应的义务。",,,,,,
,其他,福成集团,"若有因历史经营中的格位买卖事宜有请求
退款事宜者，应由宝塔陵园承担的返还款
由本公司承担。本公司清偿返还款后，将
不会再就此向宝塔陵园主张任何债权。","2014 年9 月30
日",是,"长期
承诺",是,不适用,不适用
,其他,福成集团,"2015 年1 月15 日，福成投资出具《关于
359 亩荒山的承诺函》，在宝塔灵园经营
过程中，若因 359 亩国有荒山权属或使用
等任何方面原因导致宝塔灵园遭受任何损
失，均由福成投资全额以现金予以补偿。","2015 年1 月15
日",是,"长期
承诺",是,不适用,不适用
,其他,"福成集团股
东李福成、
李高生","若宝塔陵园原有证载面积基本使用完毕后
不能按照相关规定完成扩证工作而造成损
失，且福成投资不能按照相关承诺进行补
偿的，本人对福成投资应承担的补偿义务
承担连带补偿责任。","2014 年9 月30
日",是,"长期
承诺",是,不适用,不适用
"与首次
公开发
行相关
的承诺","解决同
业竞争","福成集团、
李福成、李
高生、李永
兴（曾用
名：李高
起）","2002 年4 月先后出具了《承诺函》，承
诺:(1)鉴于福成集团在本公司成立时已经将
其牲畜饲养业务和资产以出资的方式注入
本公司，目前本人及本人控制的其他企业
并不存在与本公司相同、类似或在任何方
面构成竞争的业务。本人承诺将来也不以
任何方式从事，包括与他人合作直接或间
接从事或投资于与本公司相同、相似或在
任何方面构成竞争的业务;(2)将尽一切可能
之努力使本人控制的公司不从事于与本公",2002 年4 月,是,"长期
承诺",是,不适用,不适用
