项目,附注,2025年度,2024年度
一、经营活动产生的现金流量：,,,
"销售商品、提供劳务收到的
现金",,"854,853,457.13","803,393,157.75"
收到的税费返还,,,
"收到其他与经营活动有关的
现金",,"376,898,427.87","723,416,994.93"
经营活动现金流入小计,,"1,231,751,885.00","1,526,810,152.68"
"购买商品、接受劳务支付的
现金",,"567,652,214.83","633,455,871.13"
"支付给职工及为职工支付的
现金",,"112,288,392.99","117,595,299.05"
支付的各项税费,,"26,602,112.83","28,154,899.58"
"支付其他与经营活动有关的
现金",,"368,778,512.27","808,302,586.88"
