项目,本期发生额,上期发生额
职工薪酬,"26,966,071.52","27,057,082.34"
公司经费,"25,200.00","1,631,251.66"
折旧费,"6,286,553.72","8,392,849.92"
费用摊销,"1,554,173.08","2,188,812.90"
中介机构费用,"3,516,428.31","3,500,543.60"
其他,"5,459,900.41","6,642,264.70"
合计,"43,808,327.04","49,412,805.12"
