召开日期,会议内容,"重要意见
和建议","其他履行
职责情况"
2025 年5 月16 日,"经审阅公司第九届董事会非独立董事候选人
李良、蔡琦、吴学成个人履历、工作业绩等有关资
料，没有发现其有《公司法》第146 条规定的情况，
没有受过中国证监会及其他有关部门的处罚和证
券交易所惩戒，没有被中国证监会确定为市场禁入
者，非独立董事候选人任职资格合法。其中候选人
李良最近36 个月内受到上海证券交易所3 次通报
批评；候选人蔡琦最近36 个月内受到上海证券交
易所1 次通报批评。经审阅公司第九届董事会独立
董事候选人陆宇建、康金龙、刘建玲的职业专长、
教育背景、工作经历、兼任职务等情况，没有发现
其有《公司法》第146 条规定的情况，没有受过中
国证监会及其他有关部门的处罚和证券交易所惩
戒，没有被中国证监会确定为市场禁入者，与河北
福成五丰食品股份有限公司之间不存在任何影响
其独立性的关系。独立董事候选人任职资格合法。","审议通过
一致同意",无
2025 年6 月6 日,"经公司董事长提名，拟聘任李良先生为总经
理、李伟先生为董事会秘书。经公司总经理提名，
拟聘任甄兰兰女士为财务总监。经董事会提名委员
会审议，我们认为：一、李良先生、甄兰兰女士、
李伟先生均未持有本公司股份，未受到过中国证监
会及其他有关部门的处罚。李良先生最近36 个月
内受到上海证券交易所3 次通报批评和2 次监管警
示；甄兰兰女士最近36 个月内受到上海证券交易
所1 次通报批评和1 次监管警示；李伟先生最近36
个月内受到上海证券交易所3 次监管警示。李良先
生、甄兰兰女士、李伟先生均不存在其他不得担任
上市公司高级管理人员的情况，其任职资格合法。","审议通过
一致同意",无
