项目,本期发生额,上期发生额,"计入当期非经常性损益
的金额"
"非流动资产处置利得
合计",,,
"其中：固定资产处置
利得",,,
"无形资产处置
利得",,,
"非货币性资产交换利
得",,,
接受捐赠,,,
政府补助,,"135,714.30",
无法支付的应付款项,,"1,757,658.53",
保险赔款收入,"1,336,825.00",,"1,336,825.00"
其他,"3,444,482.60","7,492,550.54","3,444,482.60"
合计,"4,781,307.60","9,385,923.37","4,781,307.60"
