项目,期末余额,期初余额
应付原料采购款,"63,772,844.44","46,603,667.78"
应付产品采购款,"32,570,412.26","21,250,371.85"
应付设备采购款,"34,880.00","34,880.00"
其他,0.00,"1,000,000.00"
合计,"96,378,136.70","68,888,919.63"
