名称,期末余额,,
,账面余额,坏账准备,计提比例（%）
1 年以内,"48,438,940.23","968,778.80",2.00
1 至2 年,"2,509,315.59","376,397.34",15.00
2 至3 年,"2,750,211.92","825,063.58",30.00
3 至4 年,"991,713.11","495,856.56",50.00
4 至5 年,"545,968.44","436,774.74",80.00
5 年以上,,,
合计,"55,236,149.29","3,102,871.02",5.62
