项目,本期发生额,上期发生额
处置长期股权投资产生的投资收益,,567.50
债务重组收益,,"1,241,658.44"
银行理财产品收益,,4.97
处置其他非流动资产收益,"-765,835.49",
合计,"-765,835.49","1,242,230.91"
