4．其他,,,,,,,,,,,,,,,
（三）利润分配,,,,,,,,,,,"-40,116,346.80",,"-40,116,346.80",,"-40,116,346.80"
"1．提取盈余公
积",,,,,,,,,,,,,,,
"2．提取一般风
险准备",,,,,,,,,,,,,,,
"3．对所有者
（或股东）的分
配",,,,,,,,,,,"-40,116,346.80",,"-40,116,346.80",,"-40,116,346.80"
4．其他,,,,,,,,,,,,,,,
"（四）所有者权
益内部结转",,,,,,,,,,,,,,,
"1．资本公积转
增资本（或股
本）",,,,,,,,,,,,,,,
"2．盈余公积转
增资本（或股
本）",,,,,,,,,,,,,,,
"3．盈余公积弥
补亏损",,,,,,,,,,,,,,,
"4．设定受益计
划变动额结转留
存收益",,,,,,,,,,,,,,,
"5．其他综合收
益结转留存收益",,,,,,,,,,,,,,,
6．其他,,,,,,,,,,,,,,,
（五）专项储备,,,,,,,,,,,,,,,
1．本期提取,,,,,,,,,,,,,,,
2．本期使用,,,,,,,,,,,,,,,
（六）其他,,,,,,,,,,,,,,"-1,557,131.10","-1,557,131.10"
"四、本期期末余
额","818,700,955.00",,,,"297,670,902.07",,,,"163,740,934.73",,"872,723,896.78",,"2,152,836,688.58","28,992,205.88","2,181,828,894.46"
