"董事、高级管理人员薪酬的
决策程序","除独立董事外，公司不向董事支付报酬；高级管理人员报酬由公司
薪酬考核管理委员会确定。"
"董事在董事会讨论本人薪酬
事项时是否回避",是
"薪酬与考核委员会或独立董
事专门会议关于董事、高级
管理人员薪酬事项发表建议
的具体情况","根据《公司法》、《公司章程》、《独立董事工作制度》和《董事
会专门委员会实施细则》的相关规定，结合公司经营规模、盈利水
平等实际情况，参照地区及行业薪酬水平，制定公司董事、高级管
理人员薪酬津贴方案。"
"董事、高级管理人员薪酬确
定依据",董事、高级管理人员报酬按照公司制定的薪酬标准执行。
"董事和高级管理人员薪酬的
实际支付情况",董事、高级管理人员报酬按照公司制定的薪酬标准按月支付。
"报告期末全体董事和高级管
理人员实际获得的薪酬合计",250.98 万元
"报告期末全体董事和高级管
理人员实际获得薪酬的考核",不适用
