"公司聘请的会计
师事务所（境内）",名称,深圳市泓毅会计师事务所（特殊普通合伙）
,办公地址,"深圳市福田区福田街道福山社区滨河大道5022 号联合广
场B 座1103"
,签字会计师姓名,李欢、张年军
